municipio,atracao
"Antônio Carlos","Igreja Matriz Nossa Senhora de Santana"
"Antônio Carlos","Igreja Nossa Senhora do Rosário"
"Antônio Carlos","Igreja São Sebastião"
"Antônio Carlos","Locomotiva 66"
Barbacena,"Basílica de São José Operário"
Barbacena,"Biblioteca da EPCAR"
Barbacena,"Fundação Municipal de Cultura"
Barbacena,"Igreja Boa Morte"
Barbacena,"Igreja do Rosário"
Barbacena,"Igreja Matriz de São Sebastião"
Barbacena,"Igreja Matriz Nossa Senhora da Piedade"
Barbacena,"Museu da Loucura"
"Belmiro Braga","Matriz de São José"
"Bias Fortes","Igreja Nossa Senhora das Dores"
"Capela Nova","Igreja Matriz Nossa Senhora das Dores"
Caranaíba,"Igreja Matriz de Nossa Senhora da Glória"
Carandaí,"Igreja de Nossa Senhora da Glória"
"Catas Altas da Noruega","Capela Nossa Senhora da Conceição"
"Catas Altas da Noruega","Capela Nossa Senhora dos Remédios"
"Catas Altas da Noruega","IGREJA MATRIZ DE SÃO GONÇALO DO AMARANTE"
"Catas Altas da Noruega","Igreja Nossa Senhora do Rosário"
"Catas Altas da Noruega","Museu e Arquivo Histórico Memorial Padre Luiz Gonzaga Pinheiro"
Chácara,"Cachoeira dos Menezes"
Chiador,"Cachoeira Barra Mansa"
Cipotânea,"Igreja Matriz de São Caetano"
"Conselheiro Lafaiete","Biblioteca e Museu Antônio Perdigão"
"Conselheiro Lafaiete","Fazenda da Água Limpa"
"Conselheiro Lafaiete","Igreja Matriz de São Sebastião"
"Conselheiro Lafaiete","Matriz de Nossa Senhora da Conceição"
"Conselheiro Lafaiete","Museu Ferroviário"
"Conselheiro Lafaiete","Praça Barão de Queluz"
"Coronel Pacheco","Cachoeira Triqueda"
"Cristiano Otoni","Cachoeira da Pedra"
"Cristiano Otoni","Cachoeira da Usina"
"Cristiano Otoni","Cachoeira do Balneário"
"Cristiano Otoni","Capela de Nossa Senhora da Guia"
"Cristiano Otoni","Estação Ferroviária de Cristiano Otoni"
"Cristiano Otoni","Igreja Matriz de Santo Antônio"
"Cristiano Otoni","Trilha do João Mina"
"Cristiano Otoni","Trilha Treme Treme"
"Desterro do Melo","Cachoeira dos 5 Saltos"
"Desterro do Melo","Igreja de Nossa Senhora do Rosário"
"Desterro do Melo","Igreja Matriz Nossa Senhora do Desterro"
"Diogo de Vasconcelos","Cachoeira da Laranja"
"Diogo de Vasconcelos","Igreja São Domingos do Gusmão"
"Ewbank da Câmara","Barragem Chapéu das Duvas"
Ibertioga,"Cachoeira do Mato Grosso"
Itaipava,"Castelo de Itaipava"
Itaipava,"Cervejaria Itaiapava"
Itaipava,"Feirinha de Itaipava"
Itatiaia,"Igreja Matriz de Santo Antônio"
Itatiaia,"Monumento Natural de Itatiaia"
"Juiz de Fora","Casa de Cultura"
"Juiz de Fora","Catedral Metropolitana"
"Juiz de Fora","Centro Cultural Bernardo Mascarenhas"
"Juiz de Fora","Cine-Theatro Central"
"Juiz de Fora","Circuito Cervejas Artesanais JF"
"Juiz de Fora","Fórum da Cultura"
"Juiz de Fora","JF Sabores - Juiz de Fora"
"Juiz de Fora","Mercado Municipal - Juiz de Fora"
"Lavras Novas","Cachoeiras de Lavras Novas"
"Lavras Novas","Igreja Nossa Senhora dos Prazeres"
"Lavras Novas","Torresmo de Zé Loureto - Lavras Novas-Chapada"
"Lima Duarte","Igreja Matriz Nossa Senhora das Dores"
"Lima Duarte","Parque Estadual do Ibitipoca"
"Matias Barbosa","Capela do Rosário"
"Matias Barbosa","Labirinto de Túneis"
"Matias Barbosa","Memorial Histórico Cultural"
"Matias Barbosa","Represa Monte Alegre"
Olaria,"Cachoeira do Areal"
"Oliveira Fortes","Cachoeira Usina"
"Ouro Branco","Cachoeira do Itatiaia"
"Ouro Branco","Capela de Nossa Senhora Mãe dos Homens"
"Ouro Branco","Casa de Tiradentes (Fazenda Carreiras)"
"Ouro Branco","Festival da Batata - Ouro Branco"
"Ouro Branco","Igreja Matriz de Santo Antônio de Ouro Branco"
"Ouro Branco",Mirante
"Ouro Branco","Parque Estadual Serra do Ouro Branco"
"Paraíba do Sul","Igreja Matriz de São Pedro e São Paulo"
"Paraíba do Sul","Palacete Barão Ribeiro de Sá"
"Paraíba do Sul","Parque das Águas Minerais Salutaris"
"Paraíba do Sul","Ponte da Parayba"
"Paraíba do Sul","Praça Marquês de São João Marcos"
"Paraíba do Sul","Santuário Bom Jesus de Matosinhos"
"Paraíba do Sul","Theatro Municipal Mariano Aranha"
Petrópolis,"Catedral São Pedro de Alcântara"
Petrópolis,"Circuito da Cerveja - Petrópolis"
Petrópolis,"Museu Imperial"
Petrópolis,"Palácio de Cristal"
Petrópolis,"Parque Nacional da Serra dos Órgãos"
Petrópolis,"Petrópolis Gourmet"
Petrópolis,"Restaurantes - Petrópolis"
Petrópolis,"Vale dos Gourmets"
Piranga,"Rio Piranga"
Piranga,"Santuário Bom Jesus do Matosinhos"
"Presidente Bernardes","Igreja Matriz de Santo Antônio"
Queluzito,"Cachoeira do Maciel"
Queluzito,"Igreja Matriz de Santo Amaro"
Ressaquinha,"Igreja Matriz de São José"
"Santana do Garambéu","Cachoeira da Água Limpa"
"Santana do Garambéu","Cachoeira do Capivari"
"Santana dos Montes","Cachoeira do Santinho"
"Santana dos Montes","Cervejas Artesanais - Santana dos Montes"
"Santana dos Montes","Fazenda do Antônio Quirino"
"Santana dos Montes","Hotéis-fazenda em Santana dos Montes"
"Santana dos Montes","Igreja Matriz de Santana dos Montes"
"Santana dos Montes","Praça da Matriz"
"Santana dos Montes","Vinho - Santana dos Montes"
"Santa Rita de Ibitipoca","Cachoeira do Maurício"
"Santa Rita de Ibitipoca","Cachoeira do Zé Santana"
"Santos Dumont","Museu de Cabangu  (Santos Dumont)"
"Santos Dumont","Queijo do Reino - Santos Dumont"
"Santos Dumont","Represa da Ponte Preta"
"Senhora de Oliveira","Cachoeira da Posse"
"Simão Pereira","Pedra do Paraibuna"
"Simão Pereira","Registro do Paraibuna"
Aiuruoca,"Antiga Estação Ferroviária do Angahy"
Aiuruoca,"Cachoeira da Esperança"
Aiuruoca,"Cachoeira das Fadas"
Aiuruoca,"Cachoeira do Batuque"
Aiuruoca,"Cachoeira do Fundo"
Aiuruoca,"Cachoeira do Tiziu"
Aiuruoca,"Parque Estadual da Serra do Papagaio"
Alagoa,"Cachoeira do Zé Pena"
Alagoa,"Cachoeira Ouro Fala"
Alagoa,"Queijo Artesanal - Alagoa"
Andrelândia,"Cachoeira do Apiário"
Andrelândia,"Matriz Nossa Senhora do Porto da Eterna Salvação"
Andrelândia,"Mirante do Cristo Redentor"
Andrelândia,"Parque Arqueológico da Serra de Santo Antônio"
Andrelândia,"Pedra do Serrote"
Aparecida,"Santuário Nacional de Nossa Senhora Aparecida"
Areias,"Cachoeira da Caroba"
Areias,"Cachoeira do Inácio"
Areias,"Cachoeira Santa Terezinha"
Areias,"Serra da Bocaina"
Baependi,"Cachoeira da Usina"
Baependi,"Cachoeira do Caixão Branco"
Baependi,"Cachoeira do Caldeirão"
Baependi,"Cachoeira do Espraiado do Gamarra"
Baependi,"Cachoeira do Inferninho"
Baependi,"Cachoeira do Juju"
Baependi,"Cachoeira do Moinho"
Baependi,"Cachoeira Honorato Ferreira"
Bananal,"Estação Ferroviária de Bananal"
Bananal,"Solar Aguiar Vallim"
Barroso,"Cachoeira da Lajinha"
Barroso,"Igreja Matriz Santana"
Barroso,"Praça do Cruzeiro"
Barroso,"Réplica da Capela de Santana"
Barroso,"Vestígios da Estrada Real"
"Belo Vale","Cachoeira Boa Esperança"
"Belo Vale","Caminho Belo Vale - Itabirito"
"Cachoeira do Campo","Matriz de Nossa Senhora de Nazaré"
"Cachoeira do Campo","Panelas de Pedra Sabão - Cachoeira do Campo"
Cambuquira,"Cachoeira Cascata do Congonhal"
Cambuquira,"Igreja Matriz de São Sebastião"
Cambuquira,"Igreja Nossa Senhora Aparecida"
Cambuquira,"Parque das Águas"
Cambuquira,"Pico do Piripau"
Cambuquira,"Reserva Biologica de Santa Clara"
"Carmo de Minas","Cachoeira Canaã"
"Carmo de Minas","Cafés Especiais - Carmo de Minas"
"Carmo de Minas","Igreja de São Sebastião"
"Carmo de Minas","Pico Agudo"
"Carmo de Minas","Rota do Café Especial"
"Carmo de Minas","Sabores da Estrada Real - Café"
Carrancas,"Cachoeira da Fumaça"
Carrancas,"Cachoeira da Zilda"
Carrancas,"Cachoeira do Luciano"
Carrancas,"Cachoeira do Moinho"
Carrancas,"Cachoeira do Salomão"
Carrancas,"Cachoeira Grande"
Carrancas,"Cachoeira Serrinha"
Carrancas,"Cachoeira Tira Prosa"
"Casa Grande","Gruta do Morcego"
"Casa Grande","Igreja de São Sebastião"
Caxambu,"Águas Minerais - Caxambu"
Caxambu,"Doces - Caxambu"
Caxambu,"Festival Boa Mesa - Caxambu"
Caxambu,"Igreja de Santa Isabel da Hungria"
Caxambu,"Museu Histórico de Caxambu"
Caxambu,"Paróquia Nossa Senhora dos Remédios"
Caxambu,"Parque das Águas de Caxambu"
Caxambu,"Praça XVI de Setembro"
"Conceição da Barra de Minas","Cachoeira do Flavito"
"Conceição da Barra de Minas","Igreja de Santo Antônio"
"Conceição do Rio Verde","Cachoeira do Lemes"
