municipio,hotel,cod_caminho
Barbacena,"Hotel Aliança Barbacena",02
Barbacena,"Village Plaza Hotel",02
Barbacena,"Hotel Miranelli",02
Barbacena,"Gold Hotel",02
"Conselheiro Lafaiete","Go Inn Lafaiete - MG",02
"Conselheiro Lafaiete","Vertentes Suítes Hotel",02
"Conselheiro Lafaiete","Hotel Meri",02
"Conselheiro Lafaiete","Solar boa vista",02
"Conselheiro Lafaiete","Hotel H2 Congonhas",02
Itaipava,"Castelo de Itaipava Hotel, Eventos e Bistrô",02
Itaipava,"Bomtempo Itaipava - Esporte & Lazer",02
Itaipava,"Bomtempo II - Chales da Mata",02
Itaipava,"Apart-hotel Granja Brasil Itaipava",02
Itaipava,"Residencial Flor- Hilda",02
Itaipava,"Bed & Breakfast Pouso Donana",02
Itaipava,"Fazenda Piloes",02
Itaipava,"Suites em meio a Mata Atlântica",02
Itaipava,"Cama e Café Hospedagem do Bosque",02
Itaipava,"Estudio Itaipava Suíte",02
Itaipava,"Granja Brasil - NM Imovéis Itaipava",02
Itaipava,"Nosso Sítio - Rancho Santa Clara Itaipava",02
Itaipava,"Sítio 1001 - Observe o mais belo céu do RJ",02
Itaipava,"Casa de vidro",02
Itaipava,"Chalé Rosa do Vale",02
Itaipava,"Casa Fazenda Inglesa - Anexo",02
Itaipava,"Guest House Nosso Aconchego",02
Itaipava,"Pousada Monte Imperial",02
Itaipava,"Hostel Petrópolis",02
Itaipava,"Pousada Imperial Koeler",02
Itaipava,"Loft Palácio de Cristal",02
Itaipava,"Sítio amplo e aconchegante em Teresópolis",02
Itaipava,"WTR CHALÉS",02
Itaipava,"Ace Casinha & Chalet - Centro histórico",02
Itaipava,"PARQUE DO IMBUI UNICA E EXCLUSIVA PARA CRIANCAS E BEBES INFRA COM PISCINA PRAINHA AQUECIMENTO opcional PISTA PATINACAO FLORESTA FRUTAS ESPACO GOURMET LUXO UNICA NA REGIAO SERRANA Agora Com 5G",02
Itatiaia,"GRAAL INN ITATIAIA",02
Itatiaia,"Pousada Campo Alegre",02
Itatiaia,"POUSADA CAMISA 10",02
Itatiaia,"Hotel Chalés Terra Nova",02
Itatiaia,"Pousada Encantus",02
Itatiaia,"Encantu's Flats",02
Itatiaia,"Casa de Férias para sua Família e seu Pet!",02
Itatiaia,"Casa de Tijolinho Penedo-RJ",02
Itatiaia,"Lar da Tamara",02
Itatiaia,"Casa ampla em penedo",02
Itatiaia,"Hotel Casa Encantada",02
Itatiaia,"Casa Dos Artistas",02
Itatiaia,"Chalé Condominio Linda Vista",02
Itatiaia,"Pousada Tapera",02
Itatiaia,"Pousada Chiclé Penedo",02
Itatiaia,"Chalé aconchegante para família no Centro",02
Itatiaia,"Aconchego Próx. a Penedo.",02
Itatiaia,"Pousada Suarez",02
Itatiaia,"Chalé saí azul",02
Itatiaia,"Casa de Temporada Penedo / Serrinha",02
Itatiaia,"Espigão Palace Hotel",02
Itatiaia,"Casa feliz",02
Itatiaia,"Pousada Sitio Barreirinha",02
Itatiaia,"Chalé Bela Vista",02
Itatiaia,"Villa Ganesh",02
"Juiz de Fora","ibis Juiz de Fora",02
"Juiz de Fora","Victory Business Hotel",02
"Juiz de Fora","Ritz Plaza Hotel",02
"Juiz de Fora","Victory Suites",02
"Juiz de Fora","Maxim Plaza Hotel",02
"Juiz de Fora","Premier Parc Hotel",02
"Juiz de Fora","Trade Hotel",02
"Juiz de Fora","Real Hotel",02
"Juiz de Fora","Hotel Green Hill",02
"Juiz de Fora","Haras Morena Resort",02
"Juiz de Fora","AP CENTRAL",02
"Juiz de Fora",AP-205,02
"Juiz de Fora","Para voce ou sua empresa 105",02
"Juiz de Fora","Estadia Confortável AP 102",02
"Juiz de Fora","POUSADA DO JOAO",02
"Juiz de Fora","130/302 AP 306 Um dois quartos dos seus sonhos",02
"Juiz de Fora","130/101 Apartamento 106",02
"Juiz de Fora","Chácara Eni Barbosa",02
"Juiz de Fora","Barato e confortável AP 104",02
"Juiz de Fora","AP Descanso ou trabalho 103",02
"Juiz de Fora","Grande Hotel Estação Norte",02
"Juiz de Fora","Hotel Fazenda Morro Grande",02
"Lavras Novas","Chalé Céu e Terra",02
"Lavras Novas","Pousada Fonte Viva",02
"Lavras Novas","Aconchego Mineiro",02
