municipio,atracao,caminho
"Ouro Preto","Casa de Thomaz Antônio Gonzaga","Caminho Novo"
"Ouro Preto","Casa de Thomaz Antônio Gonzaga","Caminho dos Diamantes"
"Ouro Preto","Casa dos Contos","Caminho Velho"
"Ouro Preto","Casa dos Contos","Caminho Novo"
"Ouro Preto","Casa dos Contos","Caminho dos Diamantes"
Passabém,"Igreja Matriz de São José","Caminho dos Diamantes"
"Ponte Nova","Cachoeira do Vau Açu","Caminho dos Diamantes"
"Ponte Nova","Carne de porco - Ponte Nova","Caminho dos Diamantes"
"Ponte Nova","Queijos - Ponte Nova","Caminho dos Diamantes"
"Presidente Kubitschek","Cachoeira da Paca","Caminho dos Diamantes"
"Presidente Kubitschek","Cachoeira do Guaribas","Caminho dos Diamantes"
"Presidente Kubitschek","Cachoeira do Laércio","Caminho dos Diamantes"
"Presidente Kubitschek","Cachoeira do Tamanduá","Caminho dos Diamantes"
"Presidente Kubitschek","Cânion do Funil","Caminho dos Diamantes"
"Presidente Kubitschek","Capela Nossa Senhora de Fátima","Caminho dos Diamantes"
"Presidente Kubitschek","Cascata Ananias","Caminho dos Diamantes"
"Presidente Kubitschek","Igreja de Nossa Senhora das Dores","Caminho dos Diamantes"
Sabinópolis,"Igreja de Nossa Senhora do Rosário","Caminho dos Diamantes"
Sabinópolis,"Igreja Matriz de São Sebastião","Caminho dos Diamantes"
"Santa Bárbara","Antiga Estação","Caminho dos Diamantes"
"Santa Bárbara","Capela da Arquiconfraria do Cordão de São Francisco","Caminho dos Diamantes"
"Santa Bárbara","Casa de Cultura de Santa Bárbara","Caminho dos Diamantes"
"Santa Bárbara","Casa do Mel de Santa Bárbara","Caminho dos Diamantes"
"Santa Bárbara","Igreja de Nossa Senhora das Mercês","Caminho dos Diamantes"
"Santa Bárbara","Igreja de Santo Amaro","Caminho dos Diamantes"
"Santa Bárbara","Igreja Matriz de Santo Antonio","Caminho dos Diamantes"
"Santa Bárbara","Igreja Nossa Senhora do Rosário","Caminho dos Diamantes"
"Santa Luzia","Capela Nossa Senhora do Bonfim","Caminho dos Diamantes"
"Santa Luzia","Estação Ferroviária","Caminho dos Diamantes"
"Santa Luzia","Igreja de Nossa Senhora do Rosário","Caminho dos Diamantes"
"Santa Luzia","Igreja Matriz de Santa Luzia","Caminho dos Diamantes"
"Santa Luzia","Mosteiro de Macaúbas","Caminho dos Diamantes"
"Santa Luzia","Museu Histórico Aurélio Dolabela","Caminho dos Diamantes"
"Santa Luzia","Solar da Baronesa","Caminho dos Diamantes"
"Santana de Pirapama","Cachoeira dos Inhames","Caminho dos Diamantes"
"Santana de Pirapama","Capela de São Sebastião","Caminho dos Diamantes"
"Santo Antônio do Itambé","Cachoeira da Água Santa","Caminho dos Diamantes"
"Santo Antônio do Itambé","Cachoeira da Fumaça","Caminho dos Diamantes"
"Santo Antônio do Itambé","Cachoeira do Lageadão","Caminho dos Diamantes"
"Santo Antônio do Itambé","Cachoeira do Lageado","Caminho dos Diamantes"
"Santo Antônio do Itambé","Chafariz João Baracho","Caminho dos Diamantes"
"Santo Antônio do Itambé","Igreja Matriz de Santo Antônio","Caminho dos Diamantes"
"Santo Antônio do Itambé","Parque Estadual Pico do Itambé","Caminho dos Diamantes"
"Santo Antônio do Rio Abaixo","Cachoeira do Chuvisco","Caminho dos Diamantes"
"Santo Hipólito","Estação Central","Caminho dos Diamantes"
"Santo Hipólito","Igreja Senhora da Glória","Caminho dos Diamantes"
"São Gonçalo do Rio Abaixo","Igreja Matriz Santo Antônio","Caminho dos Diamantes"
"São Gonçalo do Rio Abaixo","Usina Hidrelétrica e Estação Ambiental de PetI","Caminho dos Diamantes"
"São Gonçalo do Rio das Pedras","Cachoeira da Grota Seca","Caminho dos Diamantes"
"São Gonçalo do Rio das Pedras","Cachoeira do Comércio","Caminho dos Diamantes"
"São Gonçalo do Rio das Pedras","Festival do Frango Caipira - São Gonçalo do Rio das Pedras","Caminho dos Diamantes"
"São Gonçalo do Rio das Pedras","Fogão a lenha artesanal - São Gonçalo do Rio das Pedras","Caminho dos Diamantes"
"São Gonçalo do Rio das Pedras","Igreja de Nossa Senhora do Rosário","Caminho dos Diamantes"
"São Gonçalo do Rio das Pedras","Igreja Matriz de São Gonçalo","Caminho dos Diamantes"
"São Gonçalo do Rio Preto","Capela Senhor do Bom Jesus","Caminho dos Diamantes"
"São Gonçalo do Rio Preto","Igreja Matriz São Gonçalo","Caminho dos Diamantes"
"São Gonçalo do Rio Preto","Parque Estadual do Rio Preto","Caminho dos Diamantes"
"São Sebastião do Rio Preto","Igreja de São Sebastião","Caminho dos Diamantes"
"São Sebastião do Rio Preto","Praia da Conquista","Caminho dos Diamantes"
"Senhora do Porto","Igreja Matriz Nossa Senhora do Porto","Caminho dos Diamantes"
"Serra Azul de Minas","Cachoeira da Barragem","Caminho dos Diamantes"
"Serra Azul de Minas","Cachoeira do Trombé","Caminho dos Diamantes"
"Serra do Cipó - Santana do Riacho","Cachoeira Congonhas","Caminho dos Diamantes"
"Serra do Cipó - Santana do Riacho","Cachoeira da Caverna","Caminho dos Diamantes"
"Serra do Cipó - Santana do Riacho","Cachoeira das Andorinhas","Caminho dos Diamantes"
"Serra do Cipó - Santana do Riacho","Cachoeira do Cornélio","Caminho dos Diamantes"
"Serra do Cipó - Santana do Riacho","Cachoeira Grande","Caminho dos Diamantes"
"Serra do Cipó - Santana do Riacho","Cânion Travessão","Caminho dos Diamantes"
"Serra do Cipó - Santana do Riacho","Estátua do Juquinha","Caminho dos Diamantes"
"Serra do Cipó - Santana do Riacho","Mercadinho Comunitário "Tá Caindo Fulô" - Serra do Cipó","Caminho dos Diamantes"
Serro,"Cachaça - Serro","Caminho dos Diamantes"
Serro,"Casa de Caridade Santa Tereza","Caminho dos Diamantes"
Serro,"Casarão de Pedro Lessa","Caminho dos Diamantes"
Serro,"Chácara Barão do Serro","Caminho dos Diamantes"
Serro,"Chácara do Barão de Diamantina","Caminho dos Diamantes"
Serro,"Igreja de Santa Rita","Caminho dos Diamantes"
Serro,"Igreja do Bom Jesus do Matozinhos","Caminho dos Diamantes"
Serro,"Igreja Nossa Senhora do Carmo","Caminho dos Diamantes"
"Alfredo Vasconcelos","Igreja Matriz de Nossa Senhora do Rosário","Caminho Novo"
"Alfredo Vasconcelos","Morango - Alfredo Vasconcelos","Caminho Novo"
"Alto Rio Doce","Igreja Nossa Senhora do Rosário","Caminho Novo"
"Antônio Carlos","Cachoeira Mariana Afonso","Caminho Novo"
"Antônio Carlos","Casa de Cultura","Caminho Novo"
"Antônio Carlos","Igreja Matriz Nossa Senhora de Santana","Caminho Novo"
